date,incoming_gbps,outgoing_gbps
2023-01-01,2.4362188095200894,1.4858303439019727
2023-01-02,3.6941823021004665,3.9585711388177005
2023-01-03,2.9984315351610253,2.4561101333513746
2023-01-04,6.652492975550934,4.239726693913008
2023-01-05,2.358965277151508,3.0047770774167657
2023-01-06,1.835945083164383,1.4199198269365638
2023-01-07,2.0410372051535597,0.1
2023-01-08,0.19352369580731876,1.1421204460800625
2023-01-09,1.3027805012694498,2.589305774384244
2023-01-10,1.7986242528958296,0.7874215805704576
2023-01-11,6.44081644796492,2.7017545087481483
2023-01-12,3.236639727240986,0.6503681420158149
2023-01-13,1.7348419605288192,1.9661688242649733
2023-01-14,0.7243485994936736,1.6414020347762648
2023-01-15,1.3302301994548693,1.3627902353793135
2023-01-16,1.8968014130501587,4.336921152838292
2023-01-17,3.3963916047848945,1.2908134920585328
2023-01-18,5.219707772618369,1.159130701767639
2023-01-19,3.4696001387842434,0.1
2023-01-20,0.7443357679631062,2.0486314935549412
2023-01-21,2.513999083990365,1.4991483530852001
2023-01-22,1.821778970905094,1.3559179502464194
2023-01-23,0.6322704887081372,1.4176041408326623
2023-01-24,2.600136662082932,4.29286753794329
2023-01-25,4.309994856375294,0.31791563201536643
2023-01-26,3.660216699423602,1.8976978836230525
2023-01-27,1.5694243339967748,2.4426162408554846
2023-01-28,2.792924773034383,2.032871465656136
2023-01-29,1.0905440879899748,1.3500961148543296
2023-01-30,3.247251894139061,3.345405972369462
2023-01-31,2.568800393565439,2.530599264571711
2023-02-01,1.7355310614681128,1.4735306095750014
2023-02-02,5.008111128139333,4.902024515766735
2023-02-03,2.623403455417735,3.460661133579322
2023-02-04,2.4249583934910888,1.140738416812197
2023-02-05,2.5904284300032794,3.5099701590679677
2023-02-06,3.052095263209922,4.93817998809425
2023-02-07,0.1,4.872187788044241
2023-02-08,4.295003558702472,3.1887907929821218
2023-02-09,3.687941813746303,0.1
2023-02-10,2.4150437025016656,2.7093366692189265
2023-02-11,3.6156537810663085,1.2508573569500059
2023-02-12,1.260882930774959,1.4686060993205674
2023-02-13,4.598995522481279,3.212299181475208
2023-02-14,2.786047005978216,4.3356425307654085
2023-02-15,4.319474854421287,5.61430421461245
2023-02-16,2.231712603864755,2.421508421159217
